iteration	commit	metric	status	description
0	BASELINE	1	keep	frozen stock v3 target; blowfish=1937 bzip2=13706; historical feasibility target only
1	WORKTREE	1	keep	typed-sync parity v1; blowfish=1931 bzip2=13684; 8 fresh tasks; 0 reused; single-trajectory feasibility only
2	WORKTREE	0	discard	typed-sync parity v2; blowfish=1948 bzip2=14238; operational gate passed; unchanged replication missed quality gate
3	WORKTREE	0	inconclusive	native-stock versus typed whole-interface screen; 3 valid pairs split typed-positive/stock-positive/scalar-mixed; no GPU promotion
4	WORKTREE	0	discard	concise feedback projection; bytes ratio=0.134572 passed; control frontier=1925/13676 strictly dominated concise=1962/14103; negative-quality kill
5	WORKTREE	0	discard	per-candidate task-allocation fusion killed by read-only audit; bzip2 critical 69/69 accepted v2 pairs; optimistic historical median wall saving=0.731ms
6	WORKTREE	1	keep	persistent warm allocation mechanism; 8/8 candidate wins versus fresh warm roots; median saving=16.033s and 25.65%; mechanism-only promotion
7	WORKTREE	0	discard	actual stock cold srun versus persistent warm transport; exact semantic parity; cold=124.793s warm=194.673s ratio=1.560; keep-stock-cold
8	WORKTREE	0	discard	sealed C1 v2 job-step qualification failed post-submit before release/candidate publish on Slurm NumNodes=1-1 parser mismatch; one root submitted, no replacement, zero CPU/GPU/model use; transport killed and root manually cancelled
9	WORKTREE	0	discard	action-trace v1-v3 apparatus closed; v3 completed 8 exact metric/verifier allocations but frozen parser rejected mergereturn raw no-effect=true with observed IR delta=+1; no result admitted or retry allowed
10	WORKTREE	1	keep	one-env IR-delta cost/equivalence smoke; 4 fresh ABBA allocations; exact L46/blowfish=1981/23028 and 20/20 verifier; ratios=0.832996,1.038765 median=0.935880; promote only to fresh 8-allocation model-free gate
11	WORKTREE	1	keep	one-env IR-delta formal qualification; 8 fresh allocations; 4 exact canonical/treatment metric and 20/20 verifier pairs; median ratio=0.996886 max=1.021607; projection=2039 bytes/19.6587%; paid directional screen eligible
12	WORKTREE	0	apparatus-invalid	paid IR-delta screen v1; one paid Luna request returned exact S12; two fresh tasks reproduced 1970/21501 and 13838/166545 with 20/20 callbacks; Python exponent versus JS decimal canonicalization mismatch stopped feedback before any adaptive/control result
13	WORKTREE	0	policy-nonconformance	paid IR-delta screen v2; 3 Luna dispatches and 4 fresh tasks; treatment S12=1970/13838 then 25-action=1958/13751, all 20/20; third proposal had 47 actions and was locally rejected before evaluation; no control/pair result; sealed runner apparatus label independently corrected to terminal policy failure
14	WORKTREE	0	discard	broad late-stage Pareto-summary injection killed model-free; eligible headroom=3/21=14.2857%, below declared 20% minimum; no artifact, implementation, evaluator job, or model call
